film_id,title,category,description,release_year,language,actor_first_name,actor_last_name,rental_duration,rental_rate,length,replacement_cost,rating
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Alec,Wayne,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Henry,Berry,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Rip,Winslet,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Gina,Degeneres,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Adam,Hopper,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Richard,Penn,7,4.99,117,14.99,NC-17
133,Chamber Italian,Music,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English             ,Emily,Dee,7,4.99,117,14.99,NC-17
384,Grosse Wonderful,Music,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English             ,Sean,Guiness,5,4.99,49,19.99,R
384,Grosse Wonderful,Music,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English             ,Dan,Streep,5,4.99,49,19.99,R
384,Grosse Wonderful,Music,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English             ,Cuba,Allen,5,4.99,49,19.99,R
384,Grosse Wonderful,Music,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English             ,Albert,Johansson,5,4.99,49,19.99,R
8,Airport Pollock,Horror,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English             ,Fay,Kilmer,6,4.99,54,15.99,R
8,Airport Pollock,Horror,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English             ,Gene,Willis,6,4.99,54,15.99,R
8,Airport Pollock,Horror,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English             ,Susan,Davis,6,4.99,54,15.99,R
8,Airport Pollock,Horror,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English             ,Lucille,Dee,6,4.99,54,15.99,R
98,Bright Encounters,Drama,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English             ,Cameron,Zellweger,4,4.99,73,12.99,PG-13
98,Bright Encounters,Drama,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English             ,Albert,Nolte,4,4.99,73,12.99,PG-13
98,Bright Encounters,Drama,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English             ,Renee,Ball,4,4.99,73,12.99,PG-13
98,Bright Encounters,Drama,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English             ,Meryl,Allen,4,4.99,73,12.99,PG-13
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Penelope,Guiness,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Christian,Gable,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Lucille,Tracy,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Sandra,Peck,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Johnny,Cage,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Mena,Temple,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Warren,Nolte,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Oprah,Kilmer,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Rock,Dukakis,6,0.99,86,20.99,PG
1,Academy Dinosaur,Documentary,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English             ,Mary,Keitel,6,0.99,86,20.99,PG
2,Ace Goldfinger,Horror,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English             ,Bob,Fawcett,3,4.99,48,12.99,G
2,Ace Goldfinger,Horror,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English             ,Minnie,Zellweger,3,4.99,48,12.99,G
2,Ace Goldfinger,Horror,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English             ,Sean,Guiness,3,4.99,48,12.99,G
2,Ace Goldfinger,Horror,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English             ,Chris,Depp,3,4.99,48,12.99,G
3,Adaptation Holes,Documentary,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English             ,Nick,Wahlberg,7,2.99,50,18.99,NC-17
3,Adaptation Holes,Documentary,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English             ,Bob,Fawcett,7,2.99,50,18.99,NC-17
