sales_id,staff_id,customer_id,film_id,date_id,sales_amount
17503,2,341,749,1,7.99
17504,1,341,552,2,1.99
17505,1,341,551,3,7.99
17506,2,341,445,4,2.99
17507,2,341,563,5,7.99
17508,1,341,26,6,5.99
17509,2,342,961,7,5.99
17510,1,342,527,8,5.99
17511,1,342,449,9,2.99
17512,2,343,639,10,4.99
17513,1,343,30,11,6.99
17514,2,343,868,12,0.99
17515,2,343,545,13,0.99
17516,2,343,16,14,6.99
17517,1,343,69,15,8.99
17518,1,343,855,16,0.99
17519,1,344,738,17,3.99
17520,2,344,398,18,4.99
17521,1,344,809,19,0.99
17522,2,345,1,20,0.99
17523,1,345,159,21,4.99
17524,2,345,436,22,0.99
17525,2,345,749,23,4.99
17526,1,346,476,24,5.99
17527,2,346,906,25,2.99
17528,1,346,857,26,2.99
17529,2,347,61,27,8.99
17530,2,347,663,28,0.99
17531,1,347,878,29,4.99
17532,1,347,946,30,8.99
17533,1,347,229,31,7.99
17533,1,347,229,1248,7.99
18750,1,62,677,31,3.99
18750,1,62,677,1248,3.99
17534,1,348,232,32,2.99
17535,1,348,170,33,8.99
17536,2,348,697,34,0.99
17537,1,349,835,35,2.99
17538,1,349,149,36,0.99
17539,2,349,334,37,6.99
17540,1,349,680,38,8.99
17541,2,350,160,39,3.99
17542,1,350,402,40,0.99
17543,1,350,462,41,2.99
17544,2,350,475,42,0.99
17545,2,351,832,43,5.99
17546,1,351,191,44,0.99
17547,1,351,150,45,2.99
17548,1,352,807,46,0.99
17549,1,352,86,47,4.99
17550,1,352,403,48,4.99
17551,1,352,31,49,4.99
17552,2,352,640,50,4.99
17553,2,353,690,51,2.99
17554,2,353,757,52,7.99
17555,2,353,774,53,6.99
17556,1,354,186,54,0.99
17557,1,354,616,55,4.99
17558,1,354,271,56,6.99
17559,1,354,761,57,2.99
17560,2,355,241,58,0.99
17561,1,355,664,59,2.99
17562,1,356,176,60,0.99
17563,1,356,788,61,2.99
17564,1,356,207,62,4.99
17565,2,357,95,63,5.99
17566,1,357,831,64,1.99
17567,2,357,629,65,1.99
17568,2,357,532,66,6.99
17569,1,358,474,67,2.99
17570,2,358,89,68,0.99
17571,1,358,774,69,5.99
17572,1,358,829,70,2.99
17573,1,358,337,71,2.99
17574,1,358,447,72,2.99
17575,2,359,255,73,4.99
17576,2,359,367,74,1.99
17577,1,359,17,75,0.99
17578,1,359,985,76,4.99
17579,2,360,901,77,0.99
17580,2,360,621,78,6.99
17581,2,360,25,79,3.99
17582,2,360,330,80,6.99
17583,2,361,708,81,4.99
17584,2,361,641,82,1.99
17585,1,361,468,83,2.99
17586,2,361,344,84,2.99
17587,1,362,895,85,2.99
17588,1,362,368,86,2.99
17589,1,362,850,87,2.99
17590,2,362,393,88,2.99
17591,2,362,356,89,2.99
